domain,old_count,new_count,added_count,removed_count,net_change,change_percent,common_count,old_file_exists,new_file_exists
4lapy.ru,51407,34668,1198,17937,-16739,-32.56,33470,True,True
apteka-april.ru,61793,61947,191,37,154,0.25,61756,True,True
coolclever.ru,6579,6605,110,84,26,0.4,6495,True,True
av.ru,115736,115775,450,411,39,0.03,115325,True,True
citilink.ru,427483,439235,30251,18499,11752,2.75,408984,True,True
eldorado.ru,1200966,1239260,98616,60322,38294,3.19,1140644,True,True
pm.ru,34598,37974,5557,2181,3376,9.76,32417,True,True
lenta.com,145560,149077,8513,4996,3517,2.42,140564,True,True
uteka.ru,136496,129081,816,8231,-7415,-5.43,128265,True,True
stockmann.ru,734536,744112,10297,721,9576,1.3,733815,True,True
exist.ru,275687,272719,25320,28288,-2968,-1.08,247399,True,True
goldapple.ru,449318,451453,2476,341,2135,0.48,448977,True,True
etm.ru,1311845,0,0,1311845,-1311845,-100.0,0,True,True
dns-shop.ru,950342,941358,26157,35141,-8984,-0.95,915201,True,True
eapteka.ru,6717581,6681016,138456,175021,-36565,-0.54,6542560,True,True
farmlend.ru,5883598,5901670,175469,157397,18072,0.31,5726201,True,True
ostin.com,12531,12711,291,111,180,1.44,12420,True,True
sokolov.ru,50279,50078,276,477,-201,-0.4,49802,True,True
officemag.ru,151675,152674,1225,226,999,0.66,151449,True,True
petrovich.ru,94261,96797,4114,1578,2536,2.69,92683,True,True
